DMI Normalized to period: 1870-2024 - inclusive
          Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1913  -0.0685   0.0364   0.0213  -0.0814   0.0150   0.2940  -0.0425  -0.1976  -0.1048   0.2220   0.0065  -0.0358
1914  -0.1195   0.0004  -0.1967  -0.0534   0.0960   0.7470   0.3975   0.2604   0.2972   0.3000  -0.3115  -0.4998
1915  -0.4615  -0.5156  -0.2467  -0.0954  -0.2930  -0.0090  -0.4085  -0.1556  -0.0138   0.0410   0.0195   0.1862
1916   0.0385   0.1424   0.2143   0.3226   0.0460  -0.2050  -0.3905  -0.5676  -0.9048  -0.6130  -0.4595  -0.0678
1917   0.1385   0.1264   0.0643  -0.0514  -0.2060  -0.1480  -0.2955  -0.1506  -0.5088  -0.7070  -0.6505  -0.4578
1918   0.1815   0.3074   0.2633  -0.1094  -0.2190  -0.0100   0.1665   0.2064   0.3632   0.5090   0.4415   0.2692
1919   0.1415   0.0554  -0.1137  -0.2224  -0.1970  -0.1630   0.1195  -0.0346   0.1432   0.0080  -0.0155  -0.1938
1920   0.1855   0.2274   0.2953   0.2426   0.4720   0.1350  -0.2945  -0.3166  -0.2458  -0.0890  -0.3305  -0.1758
1921  -0.1275   0.0074   0.0753  -0.0044   0.1610  -0.0210  -0.1455  -0.6476  -0.1848  -0.1170  -0.2375  -0.1698
1922  -0.2135  -0.0236   0.2353  -0.2054  -0.1740   0.1250  -0.2525  -0.1306  -0.1478  -0.1720  -0.3005  -0.0918
1923  -0.0355  -0.2406  -0.1257  -0.0544  -0.1090   0.0910  -0.1075   0.2834   0.6042   0.6330   0.6945   0.0102
1924  -0.2655  -0.4246  -0.2717  -0.0824  -0.2130  -0.2540  -0.0995  -0.1336  -0.2888   0.1480  -0.1625  -0.1528
1925  -0.1485   0.1444   0.1483   0.6666   0.1590   0.2740   0.1285   0.2444   0.7522   0.4600   0.3645   0.0602
