NINA34 Normalized to period: 1870-2024 - inclusive
          Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1914   0.7559   0.8466   0.4356   0.7928   0.1627   0.1894   0.6546   1.0299   0.8001   0.3604   0.4071   0.7220
1915   0.9359   0.6966   0.6056   0.5728   0.6727   1.1994   0.1946   0.1599   0.2901   0.3404  -0.0429  -0.1880
1916  -0.0641  -0.5534  -0.4244  -0.5272  -0.0673  -0.2606  -0.9754  -1.3801  -1.2399  -1.2596  -1.6229  -1.5980
1917  -1.5041  -1.1534  -0.5244  -0.1872  -0.1373   0.0694   0.0846   0.2599   0.1001   0.1404  -0.3229  -0.6780
1918  -0.7841  -0.7734  -0.8444  -0.4572  -0.0073   0.4794   0.0546   0.2299   0.5301   1.0304   1.3371   1.3420
1919   1.6559   1.2866   1.0156   0.7928   0.7827   0.7094   0.5346   0.7299   0.6301   0.2404  -0.2629   0.3820
1920   0.6959   0.6566   0.6456  -0.0572  -0.0473   0.3994   0.2746   0.2399   0.3901   0.5904   0.0171   0.0220
1921   0.4859  -0.4634  -1.3044  -0.4472  -0.7673  -0.1106  -0.1454  -0.1801  -0.0499   0.1404  -0.9329  -0.4580
1922  -0.4841  -0.0234   0.1856  -0.4372   0.3827  -0.3306  -0.3154  -0.6801  -0.2499  -0.1496  -0.2129  -0.4880
1923  -0.3541  -0.7134  -0.7344  -0.4472  -0.0873  -0.0406  -0.0654   0.2999   0.7701   0.8904   0.9671   1.0520
1924   0.5159   0.6766   0.5056   0.0828  -0.6873  -0.5606  -0.8454  -0.6801  -0.7399  -0.3496  -0.9929  -0.6180
1925  -0.9741  -0.4234  -0.4144  -0.4172  -0.2373  -0.0706   0.6346   0.7799   0.8901   0.9504   1.1071   1.6420
1926   1.5759   1.3466   1.2956   1.1128   0.9827   0.7094   0.7646   0.2599   0.0501  -0.2896  -0.1729  -0.1880
1927   0.1559   0.2866  -0.0644  -0.1672  -0.4273  -0.0406  -0.1754   0.0099  -0.0299   0.3704   0.0571   0.2920
1928   0.5259   0.2566  -0.1344  -0.1172   0.1227  -0.1506   0.1546  -0.1801  -0.0099  -0.0196  -0.0629   0.0120
1929  -0.0941  -0.0234  -0.0344  -0.0472  -0.0073   0.2294   0.1146   0.2099   0.4201   0.5004   0.2871   0.6720
1930   0.4059   0.4366   0.4056   0.5128   0.1227   0.3694   0.7646   0.7899   1.4101   1.2404   1.8871   1.4520
1931   1.5459   1.3866   1.2956   1.0628   0.7827   0.5794   0.5346   0.2499  -0.2999  -0.1196  -0.1729  -0.2380
1932  -0.3641  -0.1434   0.3656   0.3528   0.4327   0.2894   0.0146   0.1999   0.1401   0.1204   0.0571  -0.3680
1933  -0.1641  -0.0334  -0.0944   0.1128  -0.2473  -0.7506  -0.5354  -0.8401  -0.6499  -0.9996  -0.9629  -1.1680
1934  -0.8841  -0.8234  -0.8344  -0.3172  -0.3373  -0.2306  -0.2954  -0.2201  -0.3999  -0.1496  -0.0129  -0.2080
1935  -0.2641  -0.1434  -0.1644  -0.2172  -0.3873  -0.3006  -0.5154   0.1599   0.2001   0.3804   0.3871   0.0020
1936   0.7959   0.5366   0.1156   0.3928   0.0927  -0.2506  -0.2154  -0.2201   0.0201   0.4904   0.0671   0.6720
1937  -0.2541   0.3466   0.3656   0.3128  -0.2673  -0.1906   0.2246  -0.1001   0.3001   0.0004   0.3171   0.2520
1938  -0.1541   0.2766   0.0556   0.1928  -0.1773  -0.7806  -0.8554  -0.7001  -0.1599  -0.6496  -0.6229  -0.7580
1939  -0.6141  -0.9034  -0.7344  -0.1672  -0.0973   0.1594   0.3846   0.1699   0.5601  -0.3596   0.4271   0.0920
1940   1.2359   1.4266   1.2956   0.9028   0.5027   0.6594   0.3346   0.8599   0.1701   0.4304   0.7971   1.4320
